transaction_id,account_id,booking_date,amount,currency,direction,counterparty,source_system
TX-00042,ACC-009,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0042,AlpineBank Legacy Finance
TX-00043,ACC-010,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0043,AlpineBank Legacy Finance
TX-00044,ACC-011,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0044,AlpineBank Legacy Finance
TX-00045,ACC-012,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0045,AlpineBank Legacy Finance
TX-00046,ACC-013,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0046,AlpineBank Legacy Finance
TX-00047,ACC-014,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0047,AlpineBank Legacy Finance
TX-00048,ACC-015,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0048,AlpineBank Legacy Finance
TX-00049,ACC-016,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0049,AlpineBank Legacy Finance
TX-00050,ACC-017,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0050,AlpineBank Legacy Finance
TX-00051,ACC-001,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0051,AlpineBank Legacy Finance
TX-00052,ACC-002,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0052,AlpineBank Legacy Finance
TX-00053,ACC-003,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0053,AlpineBank Legacy Finance
TX-00054,ACC-004,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0054,AlpineBank Legacy Finance
TX-00055,ACC-005,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0055,AlpineBank Legacy Finance
TX-00056,ACC-006,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0056,AlpineBank Legacy Finance
TX-00057,ACC-007,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0057,AlpineBank Legacy Finance
TX-00058,ACC-008,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0058,AlpineBank Legacy Finance
TX-00059,ACC-009,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0059,AlpineBank Legacy Finance
TX-00060,ACC-010,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0060,AlpineBank Legacy Finance
TX-00061,ACC-011,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0061,AlpineBank Legacy Finance
TX-00062,ACC-012,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0062,AlpineBank Legacy Finance
TX-00063,ACC-013,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0063,AlpineBank Legacy Finance
TX-00064,ACC-014,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0064,AlpineBank Legacy Finance
TX-00065,ACC-015,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0065,AlpineBank Legacy Finance
TX-00066,ACC-016,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0066,AlpineBank Legacy Finance
TX-00067,ACC-017,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0067,AlpineBank Legacy Finance
TX-00068,ACC-001,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0068,AlpineBank Legacy Finance
TX-00069,ACC-002,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0069,AlpineBank Legacy Finance
TX-00070,ACC-003,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0070,AlpineBank Legacy Finance
TX-00071,ACC-004,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0071,AlpineBank Legacy Finance
TX-00072,ACC-005,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0072,AlpineBank Legacy Finance
TX-00073,ACC-006,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0073,AlpineBank Legacy Finance
TX-00074,ACC-007,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0074,AlpineBank Legacy Finance
TX-00075,ACC-008,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0075,AlpineBank Legacy Finance
TX-00076,ACC-009,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0076,AlpineBank Legacy Finance
TX-00077,ACC-010,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0077,AlpineBank Legacy Finance
TX-00078,ACC-011,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0078,AlpineBank Legacy Finance
TX-00079,ACC-012,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0079,AlpineBank Legacy Finance
TX-00080,ACC-013,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0080,AlpineBank Legacy Finance
TX-00081,ACC-014,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0081,AlpineBank Legacy Finance
TX-00082,ACC-015,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0082,AlpineBank Legacy Finance
TX-00083,ACC-016,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0083,AlpineBank Legacy Finance
TX-00084,ACC-017,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0084,AlpineBank Legacy Finance
TX-00085,ACC-001,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0085,AlpineBank Legacy Finance
TX-00086,ACC-002,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0086,AlpineBank Legacy Finance
TX-00087,ACC-003,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0087,AlpineBank Legacy Finance
TX-00088,ACC-004,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0088,AlpineBank Legacy Finance
TX-00089,ACC-005,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0089,AlpineBank Legacy Finance
TX-00090,ACC-006,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0090,AlpineBank Legacy Finance
TX-00091,ACC-007,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0091,AlpineBank Legacy Finance
TX-00092,ACC-008,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0092,AlpineBank Legacy Finance
TX-00093,ACC-009,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0093,AlpineBank Legacy Finance
TX-00094,ACC-010,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0094,AlpineBank Legacy Finance
TX-00095,ACC-011,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0095,AlpineBank Legacy Finance
TX-00096,ACC-012,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0096,AlpineBank Legacy Finance
TX-00097,ACC-013,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0097,AlpineBank Legacy Finance
TX-00098,ACC-014,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0098,AlpineBank Legacy Finance
TX-00099,ACC-015,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0099,AlpineBank Legacy Finance
TX-00100,ACC-016,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0100,AlpineBank Legacy Finance
TX-00101,ACC-017,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0101,AlpineBank Legacy Finance
TX-00102,ACC-001,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0102,AlpineBank Legacy Finance
TX-00103,ACC-002,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0103,AlpineBank Legacy Finance
TX-00104,ACC-003,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0104,AlpineBank Legacy Finance
TX-00105,ACC-004,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0105,AlpineBank Legacy Finance
TX-00106,ACC-005,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0106,AlpineBank Legacy Finance
TX-00107,ACC-006,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0107,AlpineBank Legacy Finance
TX-00108,ACC-007,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0108,AlpineBank Legacy Finance
TX-00109,ACC-008,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0109,AlpineBank Legacy Finance
TX-00110,ACC-009,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0110,AlpineBank Legacy Finance
TX-00111,ACC-010,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0111,AlpineBank Legacy Finance
TX-00112,ACC-011,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0112,AlpineBank Legacy Finance
TX-00113,ACC-012,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0113,AlpineBank Legacy Finance
TX-00114,ACC-013,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0114,AlpineBank Legacy Finance
TX-00115,ACC-014,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0115,AlpineBank Legacy Finance
TX-00116,ACC-015,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0116,AlpineBank Legacy Finance
TX-00117,ACC-016,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0117,AlpineBank Legacy Finance
TX-00118,ACC-017,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0118,AlpineBank Legacy Finance
TX-00119,ACC-001,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0119,AlpineBank Legacy Finance
TX-00120,ACC-002,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0120,AlpineBank Legacy Finance
TX-00121,ACC-003,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0121,AlpineBank Legacy Finance
TX-00122,ACC-004,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0122,AlpineBank Legacy Finance
TX-00123,ACC-005,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0123,AlpineBank Legacy Finance
TX-00124,ACC-006,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0124,AlpineBank Legacy Finance
TX-00125,ACC-007,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0125,AlpineBank Legacy Finance
TX-00126,ACC-008,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0126,AlpineBank Legacy Finance
TX-00127,ACC-009,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0127,AlpineBank Legacy Finance
TX-00128,ACC-010,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0128,AlpineBank Legacy Finance
TX-00129,ACC-011,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0129,AlpineBank Legacy Finance
TX-00130,ACC-012,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0130,AlpineBank Legacy Finance
TX-00131,ACC-013,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0131,AlpineBank Legacy Finance
TX-00132,ACC-014,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0132,AlpineBank Legacy Finance
TX-00133,ACC-015,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0133,AlpineBank Legacy Finance
TX-00134,ACC-016,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0134,AlpineBank Legacy Finance
TX-00135,ACC-017,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0135,AlpineBank Legacy Finance
TX-00136,ACC-001,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0136,AlpineBank Legacy Finance
TX-00137,ACC-002,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0137,AlpineBank Legacy Finance
TX-00138,ACC-003,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0138,AlpineBank Legacy Finance
TX-00139,ACC-004,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0139,AlpineBank Legacy Finance
TX-00140,ACC-005,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0140,AlpineBank Legacy Finance
TX-00141,ACC-006,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0141,AlpineBank Legacy Finance
TX-00142,ACC-007,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0142,AlpineBank Legacy Finance
TX-00143,ACC-008,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0143,AlpineBank Legacy Finance
TX-00144,ACC-009,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0144,AlpineBank Legacy Finance
TX-00145,ACC-010,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0145,AlpineBank Legacy Finance
TX-00146,ACC-011,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0146,AlpineBank Legacy Finance
TX-00147,ACC-012,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0147,AlpineBank Legacy Finance
TX-00148,ACC-013,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0148,AlpineBank Legacy Finance
TX-00149,ACC-014,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0149,AlpineBank Legacy Finance
TX-00150,ACC-015,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0150,AlpineBank Legacy Finance
TX-00151,ACC-016,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0151,AlpineBank Legacy Finance
TX-00152,ACC-017,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0152,AlpineBank Legacy Finance
TX-00153,ACC-001,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0153,AlpineBank Legacy Finance
TX-00154,ACC-002,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0154,AlpineBank Legacy Finance
TX-00155,ACC-003,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0155,AlpineBank Legacy Finance
TX-00156,ACC-004,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0156,AlpineBank Legacy Finance
TX-00157,ACC-005,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0157,AlpineBank Legacy Finance
TX-00158,ACC-006,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0158,AlpineBank Legacy Finance
TX-00159,ACC-007,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0159,AlpineBank Legacy Finance
TX-00160,ACC-008,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0160,AlpineBank Legacy Finance
TX-00161,ACC-009,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0161,AlpineBank Legacy Finance
TX-00162,ACC-010,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0162,AlpineBank Legacy Finance
TX-00163,ACC-011,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0163,AlpineBank Legacy Finance
TX-00164,ACC-012,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0164,AlpineBank Legacy Finance
TX-00165,ACC-013,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0165,AlpineBank Legacy Finance
TX-00166,ACC-014,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0166,AlpineBank Legacy Finance
TX-00167,ACC-015,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0167,AlpineBank Legacy Finance
TX-00168,ACC-016,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0168,AlpineBank Legacy Finance
TX-00169,ACC-017,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0169,AlpineBank Legacy Finance
TX-00170,ACC-001,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0170,AlpineBank Legacy Finance
TX-00171,ACC-002,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0171,AlpineBank Legacy Finance
TX-00172,ACC-003,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0172,AlpineBank Legacy Finance
TX-00173,ACC-004,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0173,AlpineBank Legacy Finance
TX-00174,ACC-005,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0174,AlpineBank Legacy Finance
TX-00175,ACC-006,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0175,AlpineBank Legacy Finance
TX-00176,ACC-007,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0176,AlpineBank Legacy Finance
TX-00177,ACC-008,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0177,AlpineBank Legacy Finance
TX-00178,ACC-009,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0178,AlpineBank Legacy Finance
TX-00179,ACC-010,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0179,AlpineBank Legacy Finance
TX-00180,ACC-011,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0180,AlpineBank Legacy Finance
TX-00181,ACC-012,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0181,AlpineBank Legacy Finance
TX-00182,ACC-013,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0182,AlpineBank Legacy Finance
TX-00183,ACC-014,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0183,AlpineBank Legacy Finance
TX-00184,ACC-015,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0184,AlpineBank Legacy Finance
TX-00185,ACC-016,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0185,AlpineBank Legacy Finance
TX-00186,ACC-017,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0186,AlpineBank Legacy Finance
TX-00187,ACC-001,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0187,AlpineBank Legacy Finance
TX-00188,ACC-002,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0188,AlpineBank Legacy Finance
TX-00189,ACC-003,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0189,AlpineBank Legacy Finance
TX-00190,ACC-004,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0190,AlpineBank Legacy Finance
TX-00191,ACC-005,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0191,AlpineBank Legacy Finance
TX-00192,ACC-006,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0192,AlpineBank Legacy Finance
TX-00193,ACC-007,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0193,AlpineBank Legacy Finance
TX-00194,ACC-008,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0194,AlpineBank Legacy Finance
TX-00195,ACC-009,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0195,AlpineBank Legacy Finance
TX-00196,ACC-010,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0196,AlpineBank Legacy Finance
TX-00197,ACC-011,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0197,AlpineBank Legacy Finance
TX-00198,ACC-012,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0198,AlpineBank Legacy Finance
TX-00199,ACC-013,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0199,AlpineBank Legacy Finance
TX-00200,ACC-014,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0200,AlpineBank Legacy Finance
TX-00201,ACC-015,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0201,AlpineBank Legacy Finance
TX-00202,ACC-016,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0202,AlpineBank Legacy Finance
TX-00203,ACC-017,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0203,AlpineBank Legacy Finance
TX-00204,ACC-001,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0204,AlpineBank Legacy Finance
TX-00205,ACC-002,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0205,AlpineBank Legacy Finance
TX-00206,ACC-003,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0206,AlpineBank Legacy Finance
TX-00207,ACC-004,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0207,AlpineBank Legacy Finance
TX-00208,ACC-005,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0208,AlpineBank Legacy Finance
TX-00209,ACC-006,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0209,AlpineBank Legacy Finance
TX-00210,ACC-007,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0210,AlpineBank Legacy Finance
TX-00211,ACC-008,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0211,AlpineBank Legacy Finance
TX-00212,ACC-009,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0212,AlpineBank Legacy Finance
TX-00213,ACC-010,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0213,AlpineBank Legacy Finance
TX-00214,ACC-011,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0214,AlpineBank Legacy Finance
TX-00215,ACC-012,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0215,AlpineBank Legacy Finance
TX-00216,ACC-013,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0216,AlpineBank Legacy Finance
TX-00217,ACC-014,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0217,AlpineBank Legacy Finance
TX-00218,ACC-015,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0218,AlpineBank Legacy Finance
TX-00219,ACC-016,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0219,AlpineBank Legacy Finance
TX-00220,ACC-017,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0220,AlpineBank Legacy Finance
TX-00221,ACC-001,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0221,AlpineBank Legacy Finance
TX-00222,ACC-002,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0222,AlpineBank Legacy Finance
TX-00223,ACC-003,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0223,AlpineBank Legacy Finance
TX-00224,ACC-004,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0224,AlpineBank Legacy Finance
TX-00225,ACC-005,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0225,AlpineBank Legacy Finance
TX-00226,ACC-006,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0226,AlpineBank Legacy Finance
TX-00227,ACC-007,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0227,AlpineBank Legacy Finance
TX-00228,ACC-008,2026-09-05,200.00,EUR,CREDIT,Synthetic Counterparty 0228,AlpineBank Legacy Finance
